unit_order,unit_id,unit_title,P3465,P3473,BWII672,R2536,I344,P3471,P400,P3475,CCCP578,P5881,A4095,L8751,B0022,P3466
21,34cf964f-0f53-4a51-8f8e-ca7a2e7d68f9,King Has Brahmins Interpret Dreams,ليعبّر عليهم رؤياه فلمذا حضروا بين يديه قصّ عليهم ما رأى,وقصّ عليهم ما رآه وقال لقد رأيت شيئًا منكرًا عجيبًا لم يسمع أحد بمثله وإنّي أحبّ أن تفسّروا لي,فقصّ عليهم ما رأى وقال لهم رأيت منامًا عجيبًا وما أظن أحدًا رأى مثله وأنًي جمعتكم لتفسّره لي ثمّ قصّ عليهم أحلامه,وكان قد اغتمّ وكثرت فكرته ممّا رأى في منامه فسألهم أن يفسّروا له,وكان المَلك قد اغتمّ وذعر وكثرت فكرته فيما رأى في منامه فسألهم أن يفسّروا له رؤياه,وقد كان اغتمّ وذعر وكبرت فكرته فيما رأى في منامه فقصّها عليهم وأمرهم أن يعبّرونها,فَقَصّ عَلَيهم وَأَمَرَهُمْ أَنْ يُعَبِّرُوهَا,وقصّها عليهم وأمرهم أن يعبّروها,فقصّ عليهم وأمرهم أن يعبّروا رؤياه,فقصّها عليهم وأمرهم أن يعبّروها له فإنّ أمرها عظيم,فقصّ عليهم ما رأى وأمرهم أن يعبّروها,فقصّ عليهم مَا رأى وأَمرهم أن يًعبّروها,فقصّ رؤياه عليهم وأمرهم أن يخبروه بتأويلها,فقصّها عليهم وأمرهم ان يعبّروها
22,6a4b0dce-9877-4f08-ad91-7b2fd7ad2510,Brahmins Dramatize Dreams,فقالوا بأجمعهم لقد رأى الملك عجبًا,,فقال كبيرهم أيّها المَلك الرفيع الشأن إنّ منامك هائل الأحلام,رؤياه فقالوا أيّها المَلك ما أشدّ هذه الرؤيا وأعظم ما تتخوّفه منها,فقالوا أيّها المَلك ما أشدّ هذه الرؤيا وأعظم ما يُتخوّف منها,فقالوا له قد رأيت أيّها الملك أمرًا منكرًا معجبًا لم يسمع بمثله فيما مضى وما أشدّ وأعظم ما تتخوّفه منها,فقَالُوا لَه قَدْ رَأَيْت أَيُّها الملك أَمْرًا مُنكرًا معجبًا لم يُسْمَعْ بمثله فيما مَضَى مِن الزمَان وإلى الآن,فقالوا له قد رأيت أيّها الملك أمرًا مقطَعًا منكرًا لم يسمع بمثله فيما مضى,فقالوا له <قد> <رأيت> أيّها الملك أمرًا منكرًا معجبًا لم نسمع بمثله فيما مضى,فقالوا له نعم أيّها المَلك أنت رأيت منكرًا معجبًا لم يُسمع بمثله قطّ فيما مضى,فقالوا له قد رأيت أيّها المَلك أمرًا منكرًا عجيبًا لم نسمع بمثله فيما مضى,فقالوا قد رأيت أيّها الملك أمرا معجبا لم يسمع بمثله فيما مضى,فقالوا أيّها الملك لقد رأيت أمرًا منكرًا فضيعًا لم نسمع بمثله,فقالوا لقد رأيت أيها الملك امرًا منكرًا معجبًا لم نسمع بمثله فيما مضى
23,933a53de-bece-49c0-bac6-184d0b97b1ed,Brahmins Request Delay,فإن أمهلنا سبعة أيّام جئناه بتأويلها,فقالوا أمهلنا سبعة أيّام لنجتمع ونفكّر فيما طلبت ونأتيك بتأويل ذلك,وإنّنا نريد منك المهلة سبعة <أيام> لنأتيك بتفسيره على وثيقة لعلّنا نجد تفسير يدفع عنك ذلك الشرّ العظيم,فإن شئت أيّها المَلك أذنت لنا في الخروج عنك ومناظرة بعضنا بعضًا فيها وقراءة كتبنا وما نجد من التأويل فيها ثمّ نعود إلى المَلك بعد أيّام لنخبره بتأويلها ووجه الخلاص فيها من مكرهها وغمّها,فإن شئت أيّها المَلك أذنت لنا في الخروج عنك ومناظرة بعضنا بعضًا وقراءة كُتُبنا وما نجد من التأويل فيها فنعود إلى المَلك بعد أيّام بتأويلها ونجهد الحيلة في الخلاص من مكروهها وغمّها,فإن شئت أيّها الملك أذنت لنا في الخروج عنك ومناظرين بعضًا بعضًا فيها وقراءة كتبنا وما نجد من التأويل فيها ويكون لبثنا فيما نؤقّته ستّة أيام ثمّ نعود إلى الملك يوم السابع فنخبره بتأويلها ووجدان العمل في الخلاص من مكروهها وغمّها والذي يتخوّف منها,فَإنْ أَحْبَبْت أنْ نَنْطَلِق فَنُفَكّر فيه سِتَّة َأَيّام ثُمّ نَأتِيك فِي اليوم السَّابع فَنُخْبِرُك به وَلَعَلّنَا نَسْتَطيع أنْ نَدفع مَا تتَخَوّف مِنْه فعلمنَا,فإن أحببت أن نتطلّق فنفكّر فيه ستّة أيّام ثمّ نأتيك في السابع فنخبرك به ولعلّنا نستطيع أن ندفع ما نتخوّف منه فعلناه,فإن أردت أن ننطلق فنتفكّر فيه ستة أيّام ثمّ نأتيك في اليوم السابع نخبرك به ولعلّنا نستطيع ندفع ما تتخوّف منه,فإن اخترت أنّا ننطلق فنفكّر فيها ستّة أيام ثمّ نأتيك في اليوم السابع فنخبرك به ولعلّنا أن نرفع عنك وما تتخوّف منها قال لهم,فإن أحببت أن نفكّر فيها ستّة أيّام ثمّ نأتيك في اليوم السابع فنخبرك به فلعلّنا إن استطعنا أن ندفع ما نتخوّف منه,فَإن أحببت أن نفكر فيها ستة أيّام ونأتيك في اليَوم السَّابع فنخبرك ولعلّنا إن استطعنا أن ندفع مَا تتخوف منه فَعلنا,فإن رأيت أن تنطلق إلى النظر لتأويله ستّة أيام ونأتيك اليوم السابع بتأويله ولعلّنا نستطيع دفع ما تكرهه عنك أيّها الملك,فإن أحببّت انطلقنا بأجمعنا وفكّرنا في هذه الرؤيا إلّى ستّة ايّام ونأتيك في اليوم السابع فنخبرك به ولعلّنا أن نستطيع دفع هذا الشرّ عنك
24,08063140-63e8-48bc-82a2-28258d3c66bf,King Grants Delay,قال الملك قد أمهلتكم,فأمرهم بالانصراف وأنظرهم,فرضي المَلك بقولهم,فرضي المَلك قولهم وأذن لهم في الخروج,فرضي بذلك وأذن لهم في الخروج,فرضي الملك قولهم وأذن لهم في الخروج,فقال الملك نَعَم,فقال الملك نعم,فقال الملك نعم,,,قال الملك نعم,قال انطلقوا,قال الملك انطلقوا
25,d00a7af6-fad3-420f-b362-8784ec056822,King Order Brahmins Counsel,,,,,,وقال اعملوا رأيكم فيما تعلمون أنّه يوافقني,فاستعملُوا رَأيَكُم فِيمَا تَعْلَمُون أنَّه يُوافِقُني,فاعملوا برأيكم فيما تعلمون أنّه يوافقني,فاعملوا فيما تعلموا أنّه يوافقني,المَلك الرأي لكم في ذلك بما تعلموا بأنّه يوافقني,فقال المَلك نعم اعملوا برأيكم ما تعلمون أنّه موافق,واعملوا واعملوا برأيكم فيما تعملون أنّه يوافقني,وأتوني بما يسّر من تأويلها واعملوا رأيكم فيما يوافق,وانظروا فيها واعملوا آرائكم فيما تعلمون أنّه يوافقني
26,11a08d12-1592-4366-bf58-92bf6c85b89e,Brahmins Promise Good,,,,,,فقالوا نفعل أيّها الملك,فَقَالُوا نَفْعَل أيُّهَا الملك,فقالوا نعم أيّها الملك,فقالوا نفعل أيّها الملك,,,قالوا نعم,قالوا سمعًا وطاعة لك أيّها الملك,فقالوا نعم أيّها الملك
27,2c8f684b-b9cf-441d-87f8-964a17891ba3,Brahmins See Chance,فخرجوا من عنده ثمّ اجتمعوا في منزل أحدهم وائتمروا بينهم وقالوا قد وجدتم علمًا واسعًا تدركون به ثأركم وتنتقمون من عدوّكم وقد علمتم أنّه قد قتل منّا بالأمس اثنا عشر ألفًا وقد أطلّعّنا على سرّه وسألنا تفسير رؤياه,فمضوا واجتمعوا وقالوا قد وجدتم علمًا وسعيا تذكرون به ثأركم وتنتقمون من عدوّكم,فانطلقوا ليجمعوا رأيهم ثمّ اجتمعوا البراهميّين وقالوا إلى بعضهم قد وجدتم دربًا وسعيًا تدركون فيه هلاك هذا المَلك عدوّكم وتنتقمون منه بأخذ ثأركم,فخرجوا من عنده واجتمعوا فقال بعضهم لبعض إنّ هذا المَلك قد قتل منكم اثني عشر ألف محارب وأباد أهل ملّتنا وخرّب المدائن وقد اطّلعنا على سرّه ووجدنا بذلك عليه سبيلًا لدرك الثأر منه,فخرجوا من عنده فاجتمعوا فقال بعضهم لبعض إنّ هذا المَلك قد قتل منكم اثنا عشر ألفًا وأباد أهل ملّتنا وأخرب المتديّنين منّا وقد اطّلعنا على سرّه ووجدنا بذلك علّة لأخذ الثأر منه,فخرجوا من عنده واجتمعوا فقال بعضهم لبعض إنّ هذا الملك قد قتل منّا إثنا عشر ألف محدث ولم يطل العهد منذ فعل ذلك وأباد أهل ملّتنا وخرّب المتديّنين منّا وقد استمكنّا منه إذ افضى إلينا سرّه وعرفنا فرقه من رؤياه,فخَرَجُوا فاجْتَمعُوا فقَالوا لمْ يَطُل العهد مُذْ قَتَل مِنَّا اثني عَشَر ألفًا وقَدْ اسْتَمكَنّا مِنْه إذا أفضَى إلَينَا سِرُّه وَعَرفنَا فَرقه من رُؤياه,فخرجوا واِجتمعوا وقالوا لم يطل العهد مذ قتل مِنّا اثني عشر ألفًا وقد استمكنّا منه أفضى إلينا بسرّه وعرفنا حرقته من رؤياه,فخرجوا من عنده واجتمعوا وقالوا وقالوا لم نطل العهد منذ قتل منّا *** فرقة من رؤياه,,فخرجوا من عنده ثمّ اجتمعوا فقالوا ما طال العهد منه مذ قتل منّا اثني ألفًا وقد استمكنّا منه فإذ أفضى إلينا بسرّه فرقه من رؤياه,فخَرجُوا مِن عنده واجتمعوا وقالوا لم نطلب العَهد منه منذ قتل منا اثني عشر ألفًا والآن فقد استمكنّا منه إذ أفضى إلينا بسرّه وعرفنا فرقه من رؤياه ولعلّنا نغتنم منه,فخرجوا من عنده واجتمعوا فيما بينهم ثمّ قالوا لم يضلّ العهد منذ قتل هذا الملك منّا اثني عشر ألفًا وقد تمكّنا منه إذ أقضى إلينا بسرّه وعرفنا فرقه من ورائه ورؤياه,ثم خرجوا من عنده فاجتمعوا وائتمروا بينهم وقالوا لم نطل العهد منذ قتل هذا الملك [[منذ قتل هذا الملك]] منّا إثني عشر ألفًا وقد تمكّنا منه إذ أفضى إلينا بسرّه وعرفنا فرقة من رؤياه
28,8961ff85-2d71-4e06-91c1-ae18ac96e12a,Brahmins Plan Revenge,فهلمّوا نغلظ له القول ونخوّفه حتّى يحمله الفرق والجزع على أن يفعل الذي نريد,فخاطِبوه بغُلظ القول حتّى نحملّه على الترقّ على أن يفعل ما تريدون,فخاطِبوه بأغلظ الأقوال ودبّروا أقوال له يكون آخر أمرها هلاك المَلك فلم يقدر إلان يخالفكم على ما تقولون فقالوا له وكيف يكون ذلك,فليجتمع رأيكم على أن نغلّظ له في القول ونجيبه على ما رأى في منامه على تحمله الفرق على أن يصنع ما نقول له,فليجتمع رأيكم على أن نغلظ عليه في القول ونجيبه على ما رأى في منامه بأشدّ ما يُقدر عليه حتّى يحمله الفرق على أن يصنع ما نقول له,ولعلّنا ننتقم منه إن نحن أغلظنا له في القول وأجبناه بما رأى في منامه فيحمله الخوف على أن يتابعنا على ما نريد فندرك بذلك أثآرنا فليجتمع رأيكم على ذلك,ولَعلّنَا نَنْتَقِم مِنْه إنْ نَحْن أغلظنَا علَيه في القَول فحَمله الخوف على أنْ يتبعنَا ما نُريد,ولعلّنا ننتقم منه إن نحن أغلظنا له القول فيحمله الخوف على أن يتابعنا لى ما نريد فنقول له,ولعلّنا ننتقم منه إذا نحن أغلظنا الأوّل فحمله الخوف على أن يتابعنا على ما نريد,,فلعلّنا ننتقم منه إن نحن أغلطنا له في القول فيحمله الخوف على أن يتابعنا على ما نريد,وَإن نحن أغلظنا له في القول فيجلبه الخوف عَلى أن يتابعنا,فلعلّنا أن ننتقم منه إن نحن غلظنا له في القول ونخوّفه فيحمله الخوف على أن يتابعنا على ما نريد,فلعلّنا أن ننتقم منه إن نحن غلّظنا له في القول وخوّفناه فيحمله الخوف على أن يتابعنا على ما نريد
29,7eb05fbc-41e6-4eab-8c36-5c24e8007318,Brahmins Will Order Killings,ونأمره ونقول ادفع إلينا أحبّاءك ومن يكرم عليك حتّى نقتلهم فإنّا قد نظرنا في كتبنا فلم نرى ما يدفع عنك ما رأيت لنفسك وما وقعت فيه من هذا الشرّ إلّا بقتل من نسمّي لك,ونقول له ادفع إلينا أحبابك ومن يكرم عليك حتّى نقتلهم فإنّا قد نظرنا في كُتُبنا فلم نرى لك قدرة إلى أن تدفع عن نفسك الشرّ الذي وقعت فيه إلّا بقتل من نذكر لك,فقال لهم نقول له ادفع لنا خواصّ أحبابك ومن يكرم عليك فإنّ في دمائهم فرج المَلك لأنّنا قد وجدنا في كتبنا ذلك أنّ المَلك ليس له فرج من تلك الشدائد والشرور وتغليب المملكة إلّا بذلك,ونقول له إنّ في هذه الرؤيا قتلك وذهاب مُلكك عنك إلى أعدائك,ونقول له إنّ هذا الذي رأيت فناءك وذهاب مُلكك عنك إلى أعدائك,ونقول له إنّ في هذا الذي رأيت قتلك وذهاب ملكك عنك إلى أعدائك ولن يُدفع ذلك عنك إلّا بقتل من يكون كريمًا من أهلك ووزرائك ونقول له قد نظرنا في كتبنا فلم يُصرف ما رأيت إلّا قُتل من نسمّي لك,فنأمُرُه أنْ يَدفع إلينا مَن يكرم عليه من أهله وَوُزرائِه ونقول له إنّا قد نظرنَا في كتُبِنَا فلم نَجده صَرف مَا رَأيت إلا قتل مَنْ يَنْتمي لك,ونأمره أن يدفع إلينا من كَرُم عليه من أهله ووزرائه ونقول له إنّا قد نظرنا في كتبنا فلم نجد ما يصرف لك ما رأيت إلّا <قتل> ما نسمّي لك,فنأمره أن يدفع إلينا من أهله ووزرائه من يميل إليه ونقول له بأنّا قد نظرنا في كتبنا فنجده لم يدفع عنّا ما رأيت إلّا قتل من نسمّيه لك,,فنأمره أن يدفع إلينا من يكرم عليه من أهله ووزرائه ونقول له إنّا قد نظرنا في كُتُبنا فلم نجد شيئًا يصرف عنك سوء ما رأيت إلّا قتل من نسمّي لك,ونقول له إنّا قد نظرنا في كتبنا فلم نجد شيئا يَصرف مَا رأيت إلّا قتل من نصف لك,فنأمره أن يدفع علينا من يعظم عليه من أهل مملكته ورأيه فنقول له قد نظرنا في كتبنا فلم نقدر على أن نصرف عنك شيئًا إلاّ أن تقتل,فنأمره أن يدفع إلينا من يعظم عليه من أهل وزرائه فنقول له قد نظرنا في كتابنا فلم نقدر ان نصرف عنك شرّ ما رأيت لنفسك إلاّ بقتل من نسمّي لك
30,68127c60-a276-46f1-8583-688539d3aa55,Kings Anticipated Question,فإن قال الملك ومن تريدون أن تقتلوا سمّوهم لي,فإن قال من تريدون قتله,فإن قال من تريدون إليهم تقتلون,,,فإن قال ومن تريدون أن تقتلوا,فإنّ قال من تُريدُون,فإذا قال ومن تريدون,فإن قال ومن تريدون,,فإن قال من تريدون,وإن قال من تريدون,,فإذا قال ومن تريدون
31,09468357-d1aa-4235-9ae3-06368df0ecf5,Brahmins List Of Victims,قلنا نريد الملكة ايراخت أمّ جوير المحمودة أكرم نسائك عليك ونريد جوير أحبّ بنيك إليك وأفضلهم عندك ونريد ابن أخيك الكريم وإيلاد خليلك وصاحب أمرك ونريد كال الكاتب صاحب سرّك وسيفك الذي لا يوجد مثله والفيل الأبيض الذي لا تلحقه الخيل الذي هو مركبك في القتال ونريد الفيلين الآخرين العظيمين الذين يكونان مع الفيل الذكر ونريد البختيّ السريع القويّ ونريد كباريون الحكيم الفاضل العالم بالأمر لننتقم بما فعل بنا,قلنا نريد الملكة إبرخت أمّ جوبر المحمودة أكرم نسائك عليك وأحبّهن إليك ونريد كمال الكاتب صاحب سرّك والببغاء الذي لا يوجد لها مثل والفيل الأبيض الذي لا تلحقه الخيل الذي هو مركبك في القتال ونريد الفيلتان الآخرتان ونريد النجيب القويّ السريع ونريد كبارابرون الحكيم العالم,قلنا نريد الملكة إبرخت وضرّتها أمّ جرير المحمود أكبر نسائك وأكرمهنّ عندك وأحبّهنّ إليك ونريد كمال الكاتب صاحب سرّك †والمينعا الذي ليس له نظير والفيل الأبيض الذي لا تدركه الخيول الكحايل في القتال ونريد الفيلتان السود ونريد النجيب القويّ السريع الجري ونريد الحكيم كباراثرون العالِم,ولن يدفع ذلك عنك إلّا بقتل هليث أم جويبر أكرم نسائك عليك وجويبر ابنها أحبّ بنيك وابن أخيك الكريم عليك وبلاذ وزيرك ودخيلك وكاتبك وصاحب سرّك وكسر سيفك الأعظم أعظم سيوفك قدرًا وأغلاهم ثمنًا وقتل فيلك الأعظم الأبيض الذي هو مركبك والفيلين الآخرين والبختيّ السريع وكينارون الحكيم,ولن يدفع ذلك عنك إلّا <أن> تقتل هلبت أمّ جوبير أكرم نسائك عليك وجوبير ابنها أحبّ بنيك إليك وأكرمهم عليك وبلاد وزيرك ودخيلك وكان كاتبك وصاحب سرّك وكسر سيفك الأعظم أعظم سيوفك قدرًا وأكثرهم ثمنًا وقتل فيلك الذي هو مركوبك والفيلين الآخرين والبختي ّ السريع وكينارون الحكيم العالم,قلنا إبرخت امرأتك وابنها جوبر أحبّ بنيك إليك وأكرمهم عليك وان أخيك الكريم عليك وأيضًا إيلاد وزيرك وصاحب أمرك فإنّه *ذو حيلة وعلم وكال كاتبك ولسانك وصاحب أمرك وسرّك وكسرسيفك الأعظم أعظم سيوفك قدرًا وأغلاها ثمنًا وقتل فيلك الذي هو مركبك وتقاتل عليه والفيلين العظيمين والفرس الذي تركب والبختي الذي تسير عليه السريع وكيدانرون,قلنا إيلاذ امرَأتكم وابنهَا حوىر وَابن أخيك *وبلار صَاحب أمرِك فإنّه ذو حيلَة وَعلم *** وَكَاتبك وَلسَانك وسمعك والفِيل الأبيَض الذي تُقاتِل عَلَيه والفيلَين العَظِيميْن والفَرس الذي تَركبُه والبخْتِيّ الذي تَسِير عليه وكىناىرون العالم,قلنا اِمرأتك براخت وابنها خوين وابن أخيك وبلاذ صاحب أمرك فإنّه ذوا حيلة وغنم كاتبك ولسانك وسيفك والفيل الأبيض الذي تقاتل عليه والفيلين العظيمين والفرس التي تركب والبختيّ الذي تسير عليه وكنانزون الفقيه,قلنا إبلاد امرأتك وابنها حرىر وابن أختك وبلاد بلاد صاحب أمرك فإنّه ذو حيلة وعلم وكاد كاتبك ولسانك وسيفك والفيل الأبيض الذي تقاتل عليه والفيلين العظيمين والفرس الذي تركبه والبختي الذي تسير عليه وكبابرون الفقيه,,قلنا له ايرخت امرأتك وابنها جوبر وابن أختك وإيلاذ صاحب أمرك فإنّه ذو حيلة وعلم وكال كاتبك ولسانك والفيل الأبيض الذي تقاتل عليه والفيلين العظيمين والفرس الذي تركبه والبختيّ الذي تسير عليه وكنانابزون الفقيه لنجعل,قلنا إيراخت إمرأتك وإبنها جوير وابن أخيك وإيلاد صَاحب أمرك فإنّه ذو حيلة وعلم وكال كاتبَك ولسانك وسيفك والفيل الأبيض الذي تقاتل عليه والفرس الذي تركبه والبختي الذي تسيرعليه وكنان ابرون الفقيه,ابزاخت وابنها وجوير وابن أخيك وبلاذ صاحب أمرك وكان الكاتب ونريد سفيك الذي لا يوجد مثله والفيضل الأبيض الذي تقاتل عليه والفيلين المغتملين والفرس الذي تركب عليه والبختر الذي تسير عليه ونريد كبابزونا الفقيه العالم,قلنا نريد أن تقتل ابراخت امرأتك وابنها حويز ابن أخيك وبلاذ صاحب أمرك وكاك الكاتب ونريد سيفك الذي لا يوجد مثله والفيل الأبيض الذي تقاتل عليه والفيلين العظيمين والفرس الذي تركب عليه والبختيّ الذي تسير عليه ونريد كناربزون الفقيه العالم
32,ff9f5b9e-2ba6-411e-aea8-1bbbc8ac8252,King Shall Bath In Blood,ثمّ نقول له إنّما ينبغي لك أيّها الملك أن تقتل هؤلاء الذين سمّيناهم لك ثمّ تجعل دماءهم في حوض تملؤه ثمّ تقعد فيه,ثمّ نقول له ينبغي لك أن تقتل هؤلاء الذين سميّناهم لك ثمّ تجعل دماءهم في أبزن ثمّ تقعد في ذلك الدم,فنذبح هؤلاء المذكورين ونجعل دمائهم في جرن الخيل الكبير ونمزج الدماء بعضها في بعض ويشلح المَلك *نطاق السروال ويقعد في ذلك الجرن ساعة رمل,ثمّ تجعل دماءهم في إناء ثمّ تغمس فيه نفسك,ثمّ تجعل دماءهم في إناء ثمّ نغطّسك فيه سبع مرّات,الحكيم ليجعل دماءهم في أبزن ثمّ نقعدك فيه فتنغطّ فيه سبع مرّات,فنجعل دمائهم في †المدن وتقعد فيه,ليجعل دماءهم في أبزن ثمّ يقعدك فيه,لنجعل دماءهم في أبزن ثمّ نقعدك فيه,,دماؤهم في أبزن ثمّ نقعدك فيه فإذا,لتجعَل دمائهم في إيوان تقعد فيه,لنجعل دماءهم في أبزن لنقعد فيه,لنجعل دماءهم ابزن لتقعد فيه
33,c01c8483-eb0b-4798-a153-4fba91274dc8,King Is Thankful,فلمّا سمع الملك ذلك سجد لكباريون ورجع الي منزله,فلمّا سمع المَلك ذلك فرح فرحًا شديدًا وعظّم الحكيم ورجع إلى منزله,فلمّا سمع المَلك من الحكيم ذلك التفسير مع ما يعهد به من صدقه فرح وزال غمّه وهمّه وسجد بين يدي الحكيم كباراثرون وودّعه وانصرف إلى منزله ودار عزّه,فلمّا سمع ذلك المَلك سجد شكرًا للّه وحمده كينارون العالِم,فلمّا سمع المَلك ذلك سجد لله شكرًا وأحمد كينارون العالم,فلمّا سمع الملك ذلك سجد بين يدي كمابيرون الفاضل العالم وكفّر له وانصرف إلى منزله مسرورًا,فلمّا سمع ذلك الملك كبَّر بَيْن يَدَيْه وسجد له وَرَجع إلى مَنزلِه,فلمّا سمع الملك ذلك سجد بين يدي كبايرون وانصرف,أصرف عنّي ذلك وأشكر كبابرون وإبلاد فيما كان من أمرهما,قال فلمّا سمع المَلك ذلك منه شكره على ما تكلّم به وما فسّره له ورجع المَلك إلى منزله,فلمّا سمع المَلك ذلك سجد بين يديه وانصرف وقال,فلمّا سمع الملك ذلك سجد بين يدي كانابرون العالم الفاضل وانصَرف الملك,فلمّا سمع الملك كلامه أمن على نفسه ممّن كان خائف منه وفرح واستبشر وسجد للحكيم المعبّر سجود تحيّة لا سجود عبوديّة ورجع إلى منزله,فلمّا سمع الملك ذلك سجد لكناربزون ورجع إلى منزله فرحًا
34,9550fc82-d346-4b78-9ec9-bc80014c20ad,King Informs Queen,,,,,,,,,,,,,وقال لزوجته ابزاخت إنّ الحكيم العالم كبارايرون قد قصّ لي ما سرّني,
35,dd90e7ac-8f1e-400d-81bf-e809ce3db2f3,King Awaits Fulfilment,,,,,,وقال إنّ كمابيرون الفاضل الفهم وأنا حقيق أن أنظر فيما قال [[وا]],,وقال إنّي ناظر فيما قال,وقال إنّ كبابرون العالم فاضل الفهم وأنا خليق أن أنظر فيما قال,فقال إنّ كباريون العالم فاضل [[العا]] الفهم فأنا حقيق أن أنظر فيما قال لي,إنّي ناظر فيما قال كنانابزون فلمّا,وقال إني لناظر فيما قال,وإنّي منتظرًا ما قال بعد أسبوع,وقال إنّ كناربزون لفاضل العلم وإنّي على ذلك لناظر فيما
36,77fddd09-c61d-4dbe-b2cf-f33fa5caae13,Gift Receiving Ceremony,فلمّا كان بعد سبعة ايّام جاءت البشائر بقدوم الرّسل فخرج الملك فجلس على التخت وأذن للأشراف وجاءته الهدايا كما أخبره كباريون الحكيم,فلمّا كان بعد سبعة أيّام لبس المَلك تاجه وإكليله وثياب المُلك وأخذ زينته وأحضر أشراف قومه وأتته الرسل والهدايا كما أخبره الحكيم ووُضع ذلك بين يديه جميعه,ثمّ أنّ المَلك من الغداة لبس ثياب مُلكه وأخذ في زينته وضرب ديوان في وجوه دولته وإذ قد أوردت عليه رسل الملوك بالهدايا طبق ما ذكره الحكيم ووُضع كلّ ما ذكره الحكيم بين يدي المَلك,,,ولبس زينته وقعد في مجلسه ودعا العظماء من أصحابه والأشراف من أحبائه وأخصائه وجِيء بالهدايا فوضعت بين يديه,,فلمّا كان لليوم السّابع أخذ الملك زينته وقعد في مجلسه وأذِن للعلماء والعظماء وأتته الهدايا,حتّى إذا كان في اليوم السابع لبس الملك زينته وقعد في مجلسه ودعا بالعظماء والأشراف وجاءته الهدايا فوُضعت بين يديه,فلمّا كان في اليوم السابع لبس المَلك زينته وجلس في مجلسه ودعا بالعلماء والحكماء وأُحضرت الهدايا فوُضعت بين يديه,كان اليوم السابع لبس ثيابه وأخذ زينته وجلس في مجلسه وأذن للعظماء والأشراف فجاءته تلك الهدايا التى قال كنانابزون حتّى وقفوا بين يديهفلمّا,فلما كان في اليوم السّابع لبس الملك ثيابه وأخذ زينته وقعد في مجلسه وأَذن للعُظماء والأشراف فجاءته تلك الهدايا التي قال له كان ابرون حتى وقفوا بين يديه,فلمّا كان اليوم السابع لبس ثيّاب الملك وتزيّن ووضع تاجه وإكليله على رأسه وأحضر أكابر علماء المملكة فأخذوا مجالسهم فلم يلبثوا أن جاءت الرسل والهدايا كما شرح الحكيم كبارايرون,قال فلمّا كان اليوم السابع لبس الملك ثياب زينته وتاجه وقعد على سريره في أكبر مجالسه وأذن لعلماء أهل مملكته فدخلوا عليه وأخذوا مجالسهم فلم يلبثوا أن جاءته الهدايا والرسل الذي أخبره بها كناربزون فوضعت بين يديه
37,fe44b09e-5b51-47af-83fa-eaeaca7fbd22,Gifts Arrive Day By Day,,,,فجعلت الهدايا تختلف إليه كلّ يوم منها فلمّا مضت سبعة أيّام استكمل الهدايا وجاءه كلّ ما وصف له كينارون العالِم,,فجعلت الهدايا التي وصفها له كمابيرون يرد إليه منها في كلّ يوم شيء فلمّا مضت سبعة أيّام استكملت الهدايا وجمعها بين يديه,فجعلَت الهدايا الذي وصف كىناىرون تدِبّ إليه كلّ يوم منها شيء فلَمّا مَضَتْ سَبْعَة أيام استكمل الهدايا وجاءه كُلّمَا وَصَف لَه كينايرون,,,,,,,
38,cc67b425-6f2e-440e-9b19-0396ef49511d,Kings Joy,فلمّا رأى ذلك الملك اشتدّ عجبه وفرحه من علم كباريون,فاشتدّ فرحه العظيم ممّا رآه ولحسن إصابة الحكيم,فلمّا انتهى ما فسّره الحكيم ازداد فرح الملَك وتعجّب من علم الحكيم كباراثرون,فاشتدّ فرح المَلك,واشتدّ فرح المَلك بذلك,وفرح لذلك فرحًا شديدًا,فاشتَدّ فَرح المَلك بذَلك,الرأي والقرابة,منك إعراض,ففرح بذلك فرحًا عظيمًا,رأى المَلك الرسل والهدايا فرح بها,فلمّا رأى الملك الرّسل والهَدايا فرح بذلك,فلمّا نظر إلى حسن تلك الهدايا وجوهر منافعها فرح فرحًا شديدًا,فلمّا رأى الملك أولئك البرد والهدايا اشتدّ فرحه
39,6cd4d2ef-c4f8-4e05-ab11-121bd38deab7,King Regrets Sharing Secret,,,,ولام نفسه على إفشاء سرّه إلى البرهميّين,ولام نفسه على إفشاء سرّه للبرهميين,ولام نفسه وقال لقد عجزت وخرقت حين أفشيت سرّي,فَلَمّا مَضَتْ ولام نفسَه على اِفشاء سرِّه إلى البرهميّين,,,فقال المَلك عند ذلك لقد عجزت حين قصصت رؤياي,,,,
