unit_order,unit_id,unit_title,I344,R2536,P400,P3465,P5881,P3475,P3473,R2407,BWII672,A4095,P3466,CCCP578,L8751,L4044,P3471
43,aedf54df-c554-4747-a6e3-518c9df7d3c7,The Noble Must Help,فإن كان ذلك فليس ذلك من فعل الصالحين,إن كان ذلك كذلك فليس ذلك من فعل الصالحين,*وإن كان ذلك كذلك فليس ذلك من فِعل الصالحين,فإنّ الكريم لا يتوانى في حقّ صاحبه,فليس يُجمل هذا بالكريم ولا يليق به ذلك ولا ينبغي له أن يقصّر في حاجة صاحبه إذا كان مقتدرًا عليها,فليس هذا للكريم بخلق أن يتوانى في حاجة صاحبه إذا قدر عليها,أنّه صادق,فليس هذا فعل الكريم الوفيّ ولا الخليل الصادق يتوانى في حاجة صاحبه إذا قدر عليها,فليس هذا من فعل الكرام الذي يوفون بالعهود ولا فعل الخليل الوفيّ الصادق ولا صاحب الودّ يتوانى في حاجة صاحبه إذا قدر عليها,فليس هذا *للكريم بخلق أن يتوانى في حاجة صاحبه إذا استمكن من حاجة نفسه,فليس هذا الكريم بخليق أن يتوانى في حاجة صاحبه إذا هو قضى حاجة نفسه,فليس هذا للكريم بخلق ولا يجمل به أن يقصّر في حاجة صاحبه إذا قدر عليها,فليس هذا للكريم بخلق أن يتوانى في حاجة صاحبه إذا تمكّن من حاجة نفسه,فما ذلك من فعل الصالحين ولا من أخلاق أهل الكرم ولا من صنع أهل الوفاء,فليس هذا من الكريم بُخلق ولا من فعال الصالحين ولا يُجمل بأحد أو *يتوانى أو يقصّر في حاجة صاحبه إذا قدر عليها عند فراغه من حاجته لنفسه
44,81c5dffc-1b3e-44ec-93dd-725bf2dedd37,The Cat States the Rat's Duty of Reciprocation,,,,وقد كان لك في سابق مودّتي من الفائدة والنفع ما قد رأيت وأنت حقيق أن تكافئني بذلك,وقد كان لك في مودّتي من عاجل النفع والاستنقاذ من الهلكة ما قد رأيت ويجب عليك أن تكافئني,وقد كانت لك في مودّتي في العاجل منفعة ونجاة من الهلكة وأنت حقيق أن تكافئني بذلك,ولقد كان لك في عاجل مودّتي من الأمن والنفع والنجاة من الهلكة ما قد رأيت وأنت حقيق أن تكافيني بذلك,ولقد كان لك في عاجل مودّتي من الأمن والنفع والخلاص من الهلكة ما قد رأيت ويجب تكافئني بذلك,ولقد كان لك في عاجل مودّتي من الأمن والنفع والخلاص من الهلكة ما قد رأيت فالواجب عليك أن لا تكافئني بضدّ ذلك,وقد كان لك في مودّتي من عاجل المنفعة والاستنقاذ من الهلكة ما قد رأيت وأنت حقيق أن تكافئني,وقد كان لك في عاجل مودّتى من النفع والخلاص من الهلكة ما قد رأيت وأنت حقيق أن تكافئنى بذلك,وقد كان لك في مودّتي عاجل النفع والاستنقاذ من المهلكة ما قد رأيت وأنت حقيق أن تكافئني بذلك,وقد كان لك في عاجل مودّتي من النفع والاستنقاذ من الهلكة ما قد رأيت وأنت حقيق أن تكافئني,فقد كان لك في عاجل مودّتي من النفع والخلاص من الهلكة ما قد رأيت فأنت حقيق أن تكافئني بذلك,وكان لك في ودّي من عاجل النفع والاستنقاذ من الهلكة ما قد رأيت وأنت حقيق أن تُكافأ بذلك
45,2490226c-c032-45f5-bf95-fbf70dd1864a,The Rat Should Forget Enmity,وإن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك بعد بلائي عندك التي مثله ودونه يُشكر فتثبت على الحقد,إن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك مع حسن بلائي عندك الذي مثله ودونه يُشكر فيثبت على حقد,وإن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك مع بلائي عندك الذي مثله ودونه شكر,ولا تذكر العداوة التي بيني وبينك فالذي حدث بيننا يمحو ما سلف من الضغينة ويثني كلّ واحد عمّا وقر في نفس صاحبه,ولا تذكر عداوة ما بيني وبينك من قبل ذلك فأمّا ما حدث بيننا أهل أن يُستكمل وتُرعى ذمامه,وأن لا تذكر عداوة ما بيني وبينك فإنّ الذي تجدّد بيننا من المودّة يمحو الخلال الكثيرة من الإساءة المتقدّمة,ولا تذكرنّ شيئًا من سالف العداوة بيني وبينك فإنّ الذي تجدّد ما بيننا من المودّة والعهد والذمام لحقيق أن ينسيك ذلك,ولا تذكر شيئًا من سالف عداوة بيني وبينك فإنّ ما حدث بيننا من المودّة ينسيك ذلك,فلا تتذكّر شيئًا من سالف العداوة الذي بيني وبينك فإنّ الذي حدث بيننا من المودّة والإخاء لحقيق أن ينسيك ذلك,ولا تذكر عداوة ما بيني وبينك فإنّ ما حدث بيننا حقيق أن ينسيك ذلك,ولا تذكر شيئًا من سالف العداوة فإنّ الذي حدث بيني وبينك من الصلح حقيق أن ينسيك ذلك معما في الوفاء من الفضل وما في الغدر من سوء العاقبة,ولا تذكر عداوة ما بيني وبينك فإنّ ما حدث بيننا أهل أن يُستكمل,ولا تكرّر عداوة كانت بيني وبينك,وألّا تذكر سالف العداوة بيننا فإنّ الذي حدث بيني وبينك من الصلح <أهل> أن ينسيك ذلك مع ما في الوفاء من الفضل والأجر وما في الغدر من سوء العاقبة,وإن كنت تذكر العداوة القديمة فلست حقيقًا أن تفعل ذلك مع بلائي عندك الذي مثله ودونه يُشكر فإنّ ما حدث بيننا أهل <أن> يُستكمل وأن يُعتزل الحقد معه
46,907e4afc-2fea-404e-bdd2-7dbea601eee1,Good Deeds Erase Bad Deeds,فإنّ الصالحين ليسوا بذوي حقد ولكنّهم أهل شكر والحسنة الواحدة عندهم تمحو سيّئات كثيرة,فإنّ الصالحين ليسوا بذوي حقد ولكنّهم أهل الشكر والحسنة الواحدة تمحو عنهم سيّئات كثيرة,والحسنة الواحدة تمحو عندهم سيّئات كثيرة,,لأنّ الكريم لا يُلقى إلّا شكورًا غير حقود ولا حسود تنسيه الخلّة الواحدة من الإحسان الأمور الكثيرة من الإساءة,,وإنّ الكريم لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساءة,والكريم لا يكون غير شكور ويكون غير حقود الخلّة الواحدة من الإحسان تنسّيه الخلال الكثيرة من الإساءة,وإنّ الأصيل لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساءة,وأنّ الكريم لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساة,فإنّ الكريم لا يكون إلّا شكورًا غير حقود تنسيه الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساءة,فإنّ الكريم لا يُلقى إلاّ شكورًا غير حقود *تنسيه الخلّة الواحدة من الإحسان الأمور الكثيرة من الإساءة,وأنت حقيق أن تنسيك الخلّة الواحدة من الإحسان الخلال الكثيرة من الإساءة,فإنّ الكريم لا يكون إلاّ شكورًا غير حقود تنسيه الخلّة الواحدة ممّا يسرّه الخلال الكثيرة مما *ساءه,فإنّ الصالحين ليسوا بذوي حقد وإنّ الكريم لا يلقى إلاّ شكورًا غير حقود تنسيه الخلّة الواحدة تمحو عندهم كثيرة من السيّئات
47,4f520db5-2db5-4e69-8daa-95ea9644ca1f,The Punishment of Betrayal Comes Swiftly,,,,وأعجل عقوبة الكاذب الغدر ومن تُضرّع إليه وسُئل العفو فلم يعف فقد غدر,وأعجل العقوبة عقوبة العدوّ والأيمان الكاذبة وأخسّ الناس من إذا تُضرّع إليه أو سُئل لم يعف ولم يغفر,وأعجل العقوبة عقوبة القدر واليمين الكاذبة ومن أرخى سبيل العفو كمن لم يعف ولم يرحم,وإنّّ أعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تضرّع إليه الصديق لم يقبل وسُئل العفو فلم يعفو,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا سُئل وتُضرّع إليه لم يعفو,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تُضرّع إليه ويُسأل العفو فلم يعفو فذاك فجور كفور,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تُضرّع إليه *وسُئل العفو لم يعف ولم يصفح,وقد كان يُقال إنّ أعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تضرّع إليه الملهوف أو سأله المذنب العفو والتجاوز لم يعف ولم يغفر وهو يجد إلى ذلك سبيلًا وإنّه ليس بحافظ أخلاق الصالحين من لا يعمل أعمالهم,وأعجل العقوبة عقوبة الغدر واليمين الكاذبة ومن إذا تضرّع إليه وسأل العفو لم يصفح ولم يعف,وأعجل العقوبة عقوبة الغدر في الأيمان الكاذبة ومن إذا تُضرّع إليه وسُئل العفو لم يعف,وأعجل العقاب عقاب الغدر والأيمان الكاذبة ومن إذا تُضرّع إليه وسُئل العفو لم يرحم ولم يعف ولم يغفر,ومن أعجل العقوبة عقوبة العدوّ واليمين الكاذبة والبغي ومن إذا تُضرّع إليه وسُئل العفو لم يصفح ولم يعف ولم يغفر
48,0592a93a-84f3-4637-a652-925b35370e6d,The Rat Must Fulfill the Pact,وكما أنّك أسرعت في خلاصك فكن أنت أيضًا في الاجتهاد في خلاصي,وكما أنّي أسرعت في خلاصك كذلك فكن أنت في خلاصي,وكما أنّي أسرعت في خلاصك فلذلك فلتكن أنت في الاجتهاد في خلاصه,,,,,,,,وكما أسرعت أنا في خلاصك ومعونتك فكذلك أنت حقيق بالاجتهاد في خلاصي من هذا الوثاق,,,,وكما أنّي أسرعت في خلاصك فكذلك كن أنت أيضًا في الاجتهاد في خلاصي
49,f093b5ad-9121-435d-8054-a7d95b327a27,The Two Kinds of Friends,قال الجرذ إنّ الأخلّاء خليلان فأحدها الخليل الصافي والآخر الخليل المؤاخي صاحبه على حال الاضطرار إلى ذلك فالخليل الصافي ينبغي له أن يؤثر خليله على نفسه وأهله وماله,قال الجرذ إنّ الأخلّاء خليلان فأحدهما الخليل المصافي والآخر المؤاخي صاحبه على حال الاضطرار إلى ذلك فالخليل المصافي ينبغي له أن يؤثر خليله على نفسه وماله وأهله,قال الجرذ إنّّ الأخلّاء خليلان وأحدهما الخليل المصافي ينبغي الذي يؤثر خليله على نفسه وأهله وماله,قال الجرذ إنّ الصديق صديقان طامع ومضطرّ وكلاهما يلتمسان المنفعة ويحترسان من المضرّة فأمّا الطامع فيسترسل إلى الصديق ويعمل له في جميع الأحوال,قال له الجرذ إنّ الأصدقاء صديقان طائع ومضطرّ وكلاهما يلتمسان المنافع ويحترسان من المضارّ فأمّا الطائع منهما فيُسترسل إليه ويُعمل له جميع ما يريده,قال الجرذ إنّ الصديق صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فاسترساله إليه,قال الجرذ الصديق صديقان صديق طائع وصديق مضرّ وكلاهما يلتمس المنافع ويحترز من المضارّ فأمّا الطائع منهما فالمرء لمسترسل إليه في جميع الأحوال,قال الجرذ إنّ الصديق صديقان صديق طامع وصديق مضطرّ وكلاهما يلتمسوا النافع ويحترسوا من الضارّ فأمّا الطامع فالمسترسَل إليه في كلّ حال,قال الجرذ إنّ الصديق صديقان صديق طامع وصديق مضطرّ وكلاهما يلتمس المنافع ويحترص من الضرّ فأمّا الطامع منهما فالمسترسَل إليه في كلّ حال,قال الجرذ الأصدقاء صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فيُسترسل إليه ويُوثق به على كلّ حال,قال الجرذ إنّ الصديق صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فليسترسل إليه ويؤمن على كل حال,قال الجرذ إنّ الأصدقاء صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع فيُسترسل إليه على كلّ حال,قال الجرذ إنّ الصديق صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الطائع منهما فيُسترسل إليه ويُعمل له على كلّ حال,قال الجرذ إنّ الصديق صديقان طائع ومضطرّ وكلاهما يلتمس المنافع ويحترس عن المضارّ فأمّا الطائع فيُسترسل ويُعمل <له> على كلّ حال,قال الجرذ إنّ الأخلّاء خليلان فأحدهما الخليل الطائع المصافي والآخر المؤاخي صاحبه على حال الاضطرار إلى ذلك وكلاهما يلتمس المنافع ويحترس من المضارّ فأمّا الخليل المصافي فينبغي له أن يؤثر خليله على نفسه وأهله وماله ويسترسل إليه ويعمل له على كلّ حال
50,367c3555-ee49-4e64-9b2a-7098891ed76d,Trusting a Foe Is Like Eating Bad Food,يكون صلحه ذلك كالذي يأكل العظام فيتبع هوى نفسه فتضعف عن هضمه قوّته †وحقدته,يكون صلحه كالذي يأكل ما يتبع فيه هوى نفسه فتضعف عن هضمه معدته,يكون صلحه ذلك كالذي يأكل مع من يتبع هوى نفسه فتضعف عن *هضمه معدته,,,,,,,,,,,,نفسه فتضعف عن هضمه معدته
51,1dfdfde6-d1cc-4dd9-bba3-ed42fc4098f0,The Intelligent Trades Favors,,,,ولا يزال العاقل يرمي بعض حاجاته ببعض لالتماس النفع الحاصل منها,ولا يزال العاقل يريهم منه بعض حاجته لما يخاف,فلا يزال العاقل [[فيها]] يرتهن منه بعض حاجته,ولا يزال العاقل يرتهن منه ببعض حاجته لبعض ما بقي وليس غلبة التواصل بعد النجاة إلّا لالتماس عاجل النفع,,ولا يزال العاقل مرتهن معه بعض حاجته لبعض ما بقي,فلا يزال العاقل يرتهن منه بعض حاجته ببعض ما يتّقي وما يخاف,فلا يزال العاقل يرتهن منه بعض حاجته ببعض ما يبقي ويخاف,فلا يزال العاقل يرتهن منهنّ بعض حاجته لما يخاف,ولا يزال العاقل يرتهن منه بعض حاجته ببعض ما قد تبقّى ويخاف,ولا يزال العاقل يرتهن بعض حاجته منه ببعض ما يتّقى ويخاف,ولا يزال العاقل يرتهن منه بعض حاجته ببعض لما يخاف ويتّقي
52,08a53201-d8bf-4247-8298-227071bc0741,The Intelligent Protects Himself,ولكن ينبغي للعاقل أن يحفظ لسانه وإنّ الذي يصالح العدوّ ويثق العدوّ ويعمل عمله ولا يحفظ نفسه منه,ولكن ينبغي للعاقل أن يحفظ نفسه [[يكون صلحه كالذي يأكل]] فإنّ الذي يصالح العدوّ ويثق به ويعمل عمله ولا يحفظ نفسه,ولكن ينبغي للعاقل أن يحفظ لسانه فإنّ الذي يصالح العدوّ ويثق به ويعمل عمله ولا يحفظ نفسه,,,,,,,,,,,,ولكن ينبغي للعاقل أن يحفظ نفسه فإنّ الذي يصالح العدوّ ويثق به ويعمل عمله أو يحفظ هوى
53,1cb7e744-a12c-4bcd-938b-667cef2d81f2,Forced Friendship Does Not Last,وأمّا الخليل الذي اضطرّ إلى مودّة صاحبه فربّما تمّت المودّة بينهما وكثيرًا ما تنفسخ فلا تهنأ ولا تتمّ,وأمّا الخليل الذي يضطرّه إلى مودّته فربّما تمّت وتمّت العداوة والمودّة بينهما وكثيرًا ما تنفسخ فلا تتمّ ولا تنمو,وأمّا الخليل الذي اضطرّ إلى مودّة صاحبه فربّما ثبت وتمّت المودّة بينهما وكثيرًا ما ينفسخ فلا ينمي ولا يتمّ,وأمّا المضطرّ ففي بعض الأحوال يسترسل وفي بعضها يتعزّز,وأمّا المضطرّ فإنّ له أحوالًا لا يُطمأنّّ إليه فيها,وأما المضطرّ من الإخوان فإنّ له أحوالًا لا يُسترسل إليه فيها وأخرى يبقى فيها,وأمّا المضطرّ فإنّ له أحوالًا يُسترسل إليه فيها,وأمّا المضطرّ فله أحوال يُسترسل إليه فيها,وأمّا المضطرّ فله أحوال يُسترسل إليه فيها وأخر يبقى,وأمّا المضطرّ فإنّ له حالات يُسترسل إليه فيها وحالات يُتّقى فيها,وأمَّا المضطرّ فإنّ له حالان يُسترسل اليه فيها وحالان يُتّقى فيها,وأمّا المضطرّ فإنّ له أحوالًا لا تطمئنّ إليه فيها وآخر تبقى,وأمّا المضطرّ فإنّ له حالات يُسترسل إليه فيها وحالات تبقى فيها,وأمّا المضطرّ فإنّ له حالة يُسترسل إليه فيها وأخرى أن يُحترس منه فيها,وأمّا الخليل الذي اضطرّ إلى مودّة صاحبه فإنّ له أحوالًا يُطمئنّ إليه فيها وحالات يُتّقى فيها وربّما تمّت المودّة بينهما وكثيرًا ما تنفسخ ولا تنمو
54,291df1aa-6cd4-4151-bc6b-7f664ccd1127,Friendship Is Pursued For a Need,,,,,منه وليس عامّة التواصل من الخلق إلّا التماس عاجل المنافع وما يُرجى منها,وليس يجب عليه التواصل والمحابّ بين الخلق لا التماس العاجل النفع ومرجوّه,,,وليس عليه التواصل بعد النجاة إلّا لالتماس عاجل النفع وموجوده,وليس عامّة التواصل والتحابب بين الناس إلّا التماس عاجل النفع,وليس عامّة التواصل والتحابب بين الناس إلاّ لالتماس عاجل النفع ومرجوّه,وليس عامّة التواصل والتجارب من الخلق إلّا لالتماس عاجل النفع ومؤخّره,وليس التواصل والتحابب بين الخلق إلّا لالتماس عاجل النفع أو,وليس عامّة التواصل من المتواصلين إلّا لطلب عاجل النفع وما هو له,وليس عامّة التواصل والتحابّ بين الخلق إلّا لالتماس عاجل النفع أو مرجوّه
55,217a0ba1-f2ce-42e5-939f-7a0c1f37bc49,The Rat Acknowledges His Remaining Obligation ,وقد فضّلت عملي وبقي عليّ,وقد خلّصت عملي وبقي ما عليّ,,,,,,,,,,,,,وقد قضيت عملي وبقي ما عليّ
56,e147a3be-cc27-4c57-b663-7b2e65603f33,The Rat Explains the Reasons for Self-Protection,,,,,وأنا واف لك بما قلت ومحترس لئن يصيبني منك مضرّة,وأنا موف لك بما جعلت لك على نفسي ومحترس في ذلك منك أن يصيبني ما هو ألجأني إلى مصالحتك,وأنا واف لك بما جعلته لك منّي ومحترز في ذلك من أن يصيبني,وأنا وافي لك بما جعلت لك منّي ومحترس في ذلك أن يصيبني,وأنا وافي لك بما جعلت لك منّي ومحترص في ذلك أن يصيبني,وأنا واف لك بما جعلت على نفسي ومحترس من أن يصيبني منك ما هو الذي ألجاني إلى صلحك,وأنا واف لك بما قلته ومحترس مَع ذلك من أن يصيبني منك ما هو ألجأني إلى صلحك وألجأك إلى قبول ذلك منّي,وأنا موف لك بما جعلت لك على نفسي ومحترس من أن يصيبني منك ما هو ألجأني إلى صلحك,مؤخّره وأنا أوافي لك بما جعلت لك ومحترس من ذلك أن يصيبني منك ما ألجأني إلى صُلحك,وأنا واف لك فيما جعلت لك ومحترس منك مع ذلك من حيث أخافك أن يصيبني منك مثلما تخوّفته ممّا ألجأني إلى مصالحتك وألجأك إليّ فثق بذلك,وأنا واقف لك بما جعلت لك ومحترس في ذلك من أن يصيبني منك ما هو ألجأني إلى صلحك
57,ccc10ba3-64bf-4078-9f93-4fd1d75808c0,The Rat Resumes Cutting the Rope,,,,ثمّ أنّ الجرذ أخذ في قطع حبائل السنّور,,,,,,,,,,,
58,be88d988-29a6-4a80-bb16-d5fa65f5194a,Ill-Timed Harvest,,,,,,,ما أصاب الجاني للثمر في غير وقته,ما أصاب جاني التمر في غير وقته,ما أصاب جاني الثمر في غير وقته,,,,,,
59,d1867dd0-552e-4617-8a5d-bb44d5cd1d14,Everything Has Its Time,ولكلّ عمل حين ينبغي أن يُعمل فيه,ولكلّ عمل حين ينبغي أن يُعمل فيه,,,,فإنّ لكلّ عمل [عمل] خيرًا,فإنّ لكلّ عمل وقت,فإنّ لكلّ عمل حين,فإنّ لكلّ عمل حينًا,فإنّ لكلّ عمل حينًا,فإنّ لكلّ عمل حينًا,فإنّ لكلّ عمل !حباله,فإنّ لكلّ عمل حينًا,فإنّ لكلّ عمل حين يُعمل فيه ولا يُجاوز به حينه,ولكلّ عمل حين ينبغي أن يُعمل به فيه
60,9be666f4-4981-40d8-b6ac-0cbbe2bf07e5,Bad Timing Brings Failure,ومن لم يعمل العمل في حينه لم ينتفع بثمرة عمله,ومن لم يعمل العمل في حينه لم ينتفع بثمرة عمله,,,,,وما لم يكن في وقته وحينه فلا عاقبة له,وما لم يكن في حينه فلا عاقبة له,وما لم يكن في حينه فلا عاقبة له,وإن لم يكن في حينه فلا عاقبة له,وما لم يكن في حينه فلا عاقبة له,,وما لا يكن في حينه فلا عاقبة له,,وما لم يكن العمل في حينه لم يُنتفع بثمرة *عمله وما لا ينتفع بثمرة عمله فلا عاقبة له
61,aa280264-42d0-431e-989e-858ef6b86f17,The Rat Explains Not Cutting the Last Rope,وأنا قاطع وثاقك وتاركًا سلكًا واحدًا لا أقطعه أرتهنك به لتقطعه أنت حتّى لا تستطيع إدراكي إذا أفلتّ من الوثاق,وأنا قاطع وثاقك وتارك سلكًا واحدًا أرتهنك به لتقطعه أنت حتّى لا تستطيع إدراكي إذا نجوت من الوثاق,وأنا قاطع وثاقك وأترك سلكًا واحدًا أرتهنك به لتقطعه أنت حتّى لا تستطيع إدراكي فإذًا نجوت من الوثاق,,وَأنا قاطع حبائلك لكنّي تارك منها عقدة لا أقطعها إلّا في الساعة <التي> أعرف أنّك عنّي فيها مشغول,وأنا قاطع حبائلك في حينها غير أنّي تارك عقدة أرتهنها منك فلا أقطعها إلّا في الساعة التي أعرف فيها أنّك مشغول عنّي,وأنا قاطع حبالك لحينها غير أنّي تارك منها عقدة واحدة أرتهنك بها ولا أقطعها إلّا في الساعة التي أعرف إنّك بها عنّي مشغول,وأنا قاطع حبالك لحينها غير أنّي أعرف أنّك مشغول عنّي فيها,وأنا قاطع حبالك لحينها غير أنّي أعرف أنّك عنّي فيها مشغول,وأنا قاطع حبائلك لوقتها غير أنّي تارك عقدة واحدة أرتهنك بها فلا أقطعها إلّا في الساعة التي أعرف أنّك عنّي فيها في شغل,وأنا قاطع حبائلك كلّها غير أنّي تارك عقدة واحدة أرتهنك بها فلا أقطعها إلاّ في الساعة التي أعلم أنّك فيها عنّي مشغول لا تستطيع إدراكي إذا نجوت من الوثاق,وأنا قاطع حبالك لوقتها ولكنّي تارك منها عقدة أرتهنك بها ولا أقطعها إلاّ في الساعة التي أعلم أنّك فيها عنّي مشغول,وأنا قاطع حبائلك لحينها غير أنّي تارك عقدة أرتهنها منك فلا أقطعها إّلا في الساعة التي أعلم أنّك عنّي فيها مشغول,فأنا قاطع حبائلك لحين القطع وتارك منها عقدة أرتهنك بها ولا أقطعها إلّا في الساعة التي أعرف أنك تشتغل نفسك فيها عنّي وذلك عند مقابلة الصيّاد,وأنا قاطع حبائلك لحينها والوقت الذي يُرجى لك فيه درك الخلاص غير أنّي تارك عقدة واحدة أرتهنها منك رهينة فلا أقطعها إلّا في الساعة التي أعلم أنّك عنّي فيها مشغول
62,265a3999-8639-4a3c-adf3-8ed6c599660c,The Rat Cuts All but One Rope,,,,,,ففعل ذلك,ففعل ذلك,ففعل ذلك,ففعل ذلك,ففعل ذلك,ففعل ذلك,,ففعل ذلك,فقطع الجرذ الحبائل إلّا عقدة واحدة ثمّ لزم مكانه تكرّمًا ووفاء,ففعل ذلك
63,f9ea4cc5-f504-4bcd-8ad2-0bc0c3224bfe,The Huntsman Approaches,فلمّا أصبحا وجاء الصيّاد إلى ذلك المكان,فلمّا أصبحا وجاء الصيّاد إلى ذلك المكان,فلمّا أصبحا وجاء الصيّاد إلى ذلك المكان,فبينما هو كذلك إذ وافى الصيّاد,قال فلمّا أصبحا إذا هما بالصيّاد قد أقبل من بعيد,حتّى إذا هما بالصيّاد قد أقبل من بعيد,حتّى إذا هما أصبحا أتاهما الصيّاد,حتّى إذا هما أصبحا أتاهما الصيّاد فحين *رأوه مقبلًا من بعيد,حتّى إذا هما أصبحا أتاهما الصيّاد,وباتا يتحادثان حتّى إذا أصبحا إذا هما بالصيّاد قد أقبل من بعيد,فلمّا أصبحا إذا هما بالصيّاد قد أقبل من بعد,قال فلمّا أصبحا الجرذ والسنّور وجدا الصيّاد من بعيد فقال الجرد,فلمّا أصبحا إذا هما بالصيّاد قد أقبل من بعيد,حتّى إذا أصبحا أقبل الصيّاد من بعيد,حتّى إذا أصبحا إذا هما بالصيّاد قد أقبل من بعيد
64,ed1ad7e4-8df4-4132-a3c6-d928355998bb,The Cat Expects to Die,استقبل السنّور,استقلّ السنّور,استقبل السنّور,,,,,,,,فلمّا رآه السنّور استشعر الهلكة,,,فلمّا رآه استسلم للموت,فلمّا أبصر به السنّور استبسل ونظر إلى الجرذ
65,d47ac39b-704b-424e-8f93-48be02022c87,The Cat Requests Fulfillment,,,,فقال له السنّور الآن جاء الجدّ في قطع حبائلي,,,,,,,,,,وقال هذا الوقت الذي أخّرت له قطع السلك فلم تدن,
66,38dcab3d-9849-4aa0-a72c-ae878ae8b677,The Rat Resolves to Cut the Last Rope,,,,,فقال الجرذ الآن قد جاء موضع الجدّ في قطع ما بقي من حبائلك,قال الجرذ الآن جاء موضع الجدّ في قطع ما بقي,فحين رآه من بعيد مقبلًا قال الجرذ الآن الصيَّاد قد أقبل وهذا وقت الجدّ والاجتهاد في قطع حبالك,قال الجرذ الآن هذا موضع الجدّ في قطع حبالك,فحين رأياه مقبلًا من بعيد قال الجرذ الآن هذا موضع الجدّ في قطع حبالك,فقال الجرذ الآن جاء موضع الجدّ في قطع بقيّة حبائلك,فقال الجرذ الآن جاء مكان الجدّ في قطع ما بقي من حبائلك,للسنّور الحين حين جاء موضع الحذر سأجدّ في قطع ما بقي من حبالك,فقال الجرذ الآن جاء موضع الجدّ في قطع حبائلك,,فقال له الجرذ ليطمئنّ قلبك إلى وفائي الآن حين جاء موضع الجدّ في قطع ما بقي من حبائلك
67,6b296c7d-611a-45cd-bb88-625badb1fa17,The Rat Fulfills the Pact,,,,فأجهد الجرذ نفسه في القرض حتّى إذا فرغ,فلم يدنوا منهما الصيَّاد حتّى فرغ الجرذ من قطعهما على سوء ظنّ السنّور به,فلم يدن الصيّاد منهما حتّى فرغ من قطع الحبال على سوء ظنّ من السنّور ودهش,ثمّ شرع في قرض العقد فلم يقرب الصيّاد منهما حتّى فرغ من قرضها على سوء ظنّ من السنّور ودهش منه ومن خوفه من الصيّاد,فلم يقرب إليهما الصيّاد حتّى كان قطع تلك الحبال,فلم يقربهما الصيّاد حتّى فرغ من قطع تلك الحبال على سوء ظنّ من السنّور,فقطع حبائله ولم يدن منهما الصيّاد حتّى فرغ الجرذ على سوء ظنّ من السنّور ودهش,فلم يدنو الصيَّاد حتّى فرغ الجرذ من قطع الحبائل على سوء ظنّ من السنّور ودهش منه,فلم يدن منهما الصيّاد حتّى فرغ الجرذ من قطع بقيّة الحبال الذي كان السنّور موثوق بها وقد قطعها على سوء ظنّ منه وخائف منه أن يمكر به لعلّمه أنّه غادر لا أمانة له,فلم يدنو الصيّاد حتّى فرغ الجرذ على سوء ظنّ من السنّور ودهش,فأخذ الجرذ في قطع السلك فلم يدنو الصيّاد منهما حتّى قطعه على سوء ظنّ من السنّور ودهش وخوف من الهلكة,فلم يدن الصيّاد حتّى فرغ الجرذ على سوء ظنّ من السنّور ودهش
68,dfa71f27-5d70-4df6-8053-da95d7263b67,The Cat Breaks from the Last Rope,ونظر إلى الجرذ وقد ترك السلك الواحد فلم يقطعه فجذب الشرك الواحد وهو لا يطمع في قطعه فانقطع السلك,فجذب السلك وهو لا يطمع في قطعه فانقطع السلك,ونظر السنّور الى الجرذ وقد ترك السلك ولم يقطعه فجذب الشرك وهو لا يطمع قطعه فانقطع السلك,,,,,,,,,,,,
